name,link,price,price_currency,mileage,fuel_type,year,gearbox,horsepower,location,image_url,engine_capacity
Ford Focus 1.6 TDCi DPF Trend,https://www.otomoto.pl/osobowe/oferta/ford-focus-piekny-ford-focus-z-niemiec-ID6Gd0kP.html,27 900,PLN,215 000 km,Diesel,2011 ,Manualna,115,Ostrów Mazowiecka (Mazowieckie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImFxeWx2aHdveXVuMjEtT1RPTU9UT1BMIn0.A-qxmiLbnnFHpU1IaPfq2oboxq3vHu6cXSgSPUmMdYY/image;s=320x240,1 560 cm3
Audi A6 2.7 TDI Multitronic,https://www.otomoto.pl/osobowe/oferta/audi-a6-audi-a6-2-7tdi-automat-od-nowosci-w-jednej-rodzinie-ID6G4lbK.html,22 000,PLN,268 200 km,Diesel,2008 ,Automatyczna,180,Bełsznica (Śląskie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImlhbnMyczcxY2pmZDEtT1RPTU9UT1BMIn0.cf0sMRDAnIqxurO9y5KCz33lHr-lUNx_fZu2yHgWT1w/image;s=320x240,2 698 cm3
Skoda Fabia 1.0 TSI Style,https://www.otomoto.pl/osobowe/oferta/skoda-fabia-pierwszy-uzytkownik-ID6GC5lP.html,46 900,PLN,70 000 km,Benzyna,2019 ,Manualna,95,Lublin (Lubelskie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im9mdGQ5OXdlMm8zZzEtT1RPTU9UT1BMIn0._SSpG87_VpMt6he09iDHmx8GBR51O7ZBOm4cd8Y0VVs/image;s=320x240,999 cm3
Chrysler Pacifica,https://www.otomoto.pl/osobowe/oferta/chrysler-pacifica-chrysler-pacifica-w-calosci-lub-na-czesci-ID6Guy46.html,39 000,PLN,40 000 km,Benzyna,2022 ,Automatyczna,291,Ostrowiec Świętokrzyski (Świętokrzyskie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImZqeTI1ejU1eTFvOTItT1RPTU9UT1BMIn0.YgkZzp5BN2jCvdGMUYwYlT8ZrKEBBl4kgGI7xe0rMmM/image;s=320x240,3 300 cm3
Audi A4 2.0 TFSI quattro S tronic S line Sportpaket,https://www.otomoto.pl/osobowe/oferta/audi-a4-audi-a4-b8-2-0-t-quattro-225km-275km-tiptronic-8b-ID6G2nCk.html,56 000,PLN,177 000 km,Benzyna,2014 ,Automatyczna,225,Garwolin (Mazowieckie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjVhd21kNmx0NTVwYi1PVE9NT1RPUEwifQ.A0drh7ycK9Ms6joC288zM2cXHrZrzEjS7yvc_ZZIN8w/image;s=320x240,1 984 cm3
Hyundai Tucson 2.0 Elegance / Premium,https://www.otomoto.pl/osobowe/oferta/hyundai-tucson-czarny-benzynka-fuul-opcja-skora-2-0i-140km-warto-ID6GB7ON.html,18 999,PLN,189 876 km,Benzyna,2007 ,Manualna,141,Inowrocław (Kujawsko-pomorskie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjVsdGxxYmNiY2d3LU9UT01PVE9QTCJ9.MVQFX4NXkiETNpMssizgtQaOiTphnyAaYlgE62p8nnI/image;s=320x240,1 975 cm3
Mercedes-Benz GLA 250 4Matic 7G-DCT AMG Line,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gla-mercedes-benz-gla-250-4-matic-amg-line-ID6GD9xk.html,83 000,PLN,160 000 km,Benzyna,2015 ,Automatyczna,211,Warszawa (Mazowieckie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjA0dG5tOG5vdHJ0bjItT1RPTU9UT1BMIn0.h4UKo7SjCifJhYVBZ3X1sVRABkOUHbnwikl7lC82C0c/image;s=320x240,1 991 cm3
Citroën C5 2.0 HDi Exclusive,https://www.otomoto.pl/osobowe/oferta/citroen-c5-citroen-c5-tourer-hdi-165-fap-exclusive-ID6GD9t3.html,33 300,PLN,177 500 km,Diesel,2012 ,Automatyczna,163,Białystok (Podlaskie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Inl0aHZ5dW5qM3pxZy1PVE9NT1RPUEwifQ.ro7SeIx3QJ4qdiM5ePg2zepojUhrFQr269AsduTv2lY/image;s=320x240,1 997 cm3
Fiat 500L 1.4 16V Pop Star,https://www.otomoto.pl/osobowe/oferta/fiat-500l-1-4-16v-77-tys-km-jak-nowy-100-bezwypadkowy-wzorowy-stan-ID6GD8ZP.html,38 900,PLN,77 000 km,Benzyna,2016 ,Manualna,95,Elbląg (Warmińsko-mazurskie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjNldWN4cHNiaWR2eTItT1RPTU9UT1BMIn0.5hJMXkATa6EQzD4LJvr4mJd76IcDMX-C7z1d9TFUc78/image;s=320x240,1 368 cm3
Opel Meriva 1.6 Cosmo,https://www.otomoto.pl/osobowe/oferta/opel-meriva-bordo-amarant-kolor-piekny-benzynka-paktronik-klima-warto-1-6i-105km-ID6GD9xq.html,11 500,PLN,179 852 km,Benzyna,2007 ,Manualna,105,Inowrocław (Kujawsko-pomorskie),https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InlqaWk5anB3Zmw0bjMtT1RPTU9UT1BMIn0.iRfDL5BjgtwfWdwLJ26zVu-bTguwzeBNdrEd3WbSaC8/image;s=320x240,1 598 cm3
